,RefId,ExecutableType,ObjectName,componentClassID,contactInfo,description,name,SqlTaskData,File_path
10,Package\Dimension - Data Load\SQl - Update Modified Record for Deletes,Microsoft.ExecuteSQLTask,SQl - Update Modified Record for Deletes,,,,,"UPDATE dima
   SET dima.ModifiedDate  =   GETDATE()    
            , dima.Deleted   = source.Deleted
            , dima.UpdateAuditID  =   ?       
FROM dbo.DimAccreditation dima
JOIN DW_Landing.dbo.DimAccreditationLanding source ON source.QualificationID = dima.QualificationID 
WHERE source.Deleted <> COALESCE(dima.Deleted, 'N')

SELECT @@ROWCOUNT AS DeleteCount;",DataLakeBaseToMart_DimAccreditation
11,Package\Dimension - Data Load\SQl - Update Modified Records for SCD 1,Microsoft.ExecuteSQLTask,SQl - Update Modified Records for SCD 1,,,,,"UPDATE dima
   SET  dima.Accreditation  =   source.Accreditation  
      , dima.AreaOfStudy  =   source.AreaOfStudy  
      , dima.AccreditationDate  =   source.AccreditationDate  
      , dima.Comments      =   source.Comments      
      , dima.ModifiedDate  =   GETDATE()    
      , dima.UpdateAuditID  =   ?       
FROM dbo.DimAccreditation dima
JOIN DW_Landing.dbo.DimAccreditationLanding source ON source.QualificationID = dima.QualificationID 
WHERE COALESCE(source.Deleted, 'N') = COALESCE(dima.Deleted, 'N')

SELECT @@ROWCOUNT AS UpdateCount ;",DataLakeBaseToMart_DimAccreditation
12,Package\Landing - Data Load,STOCK:SEQUENCE,Landing - Data Load,,,,,,DataLakeBaseToMart_DimAccreditation
13,Package\Landing - Data Load\DFT - Load new & modified records From BN to Landing,Microsoft.Pipeline,DFT - Load new & modified records From BN to Landing,Microsoft.OLEDBDestination,OLE DB Destination;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;4,OLE DB Destination,DST - Landing Table,,DataLakeBaseToMart_DimAccreditation
14,Package\Landing - Data Load\DFT - Load new & modified records From BN to Landing,Microsoft.Pipeline,DFT - Load new & modified records From BN to Landing,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",RC - SourceCount,,DataLakeBaseToMart_DimAccreditation
15,Package\Landing - Data Load\DFT - Load new & modified records From BN to Landing,Microsoft.Pipeline,DFT - Load new & modified records From BN to Landing,Microsoft.OLEDBSource,OLE DB Source;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;7,OLE DB Source,SRC - Base BN table,,DataLakeBaseToMart_DimAccreditation
16,Package\Landing - Data Load\SQL - Begin Load Audit Log,Microsoft.ExecuteSQLTask,SQL - Begin Load Audit Log,,,,,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",DataLakeBaseToMart_DimAccreditation
17,Package\Landing - Data Load\SQL - End Audit Log,Microsoft.ExecuteSQLTask,SQL - End Audit Log,,,,,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?
GO",DataLakeBaseToMart_DimAccreditation
18,Package\Landing - Data Load\SQL - Get the LastProcessed Date,Microsoft.ExecuteSQLTask,SQL - Get the LastProcessed Date,,,,,"IF NOT EXISTS (SELECT 1 FROM dbo.ETLBatchControl WHERE TableName = ?)
	BEGIN
		INSERT INTO dbo.ETLBatchControl (TableName) VALUES (?)
	END

DECLARE @LastProcessedDate DATETIME = (SELECT LastProcessedDate FROM dbo.ETLBatchControl WHERE TableName = ?);
DECLARE @CreatedDate DATETIME = (SELECT MAX(CreatedDate) FROM DW_MART.dbo.DimAccreditation);

IF @LastProcessedDate IS NULL OR @CreatedDate IS NULL
SET @LastProcessedDate = (SELECT CAST('1900-01-01' AS DATE));

SELECT @LastProcessedDate AS LastProcessedDate;",DataLakeBaseToMart_DimAccreditation
19,Package\Landing - Data Load\SQL - Truncate Landing Table,Microsoft.ExecuteSQLTask,SQL - Truncate Landing Table,,,,,User::vLandingTruncateQuery,DataLakeBaseToMart_DimAccreditation
20,Package,Microsoft.Package,DimAge,,,,,,DataLakeBaseToMart_DimAge
21,Package\Dimension - Data Load,STOCK:SEQUENCE,Dimension - Data Load,,,,,,DataLakeBaseToMart_DimAge
22,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.ConditionalSplit,Conditional Split;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Routes data rows to different outputs depending on the content of the data. Use conditions (SSIS expressions) to specify which rows are routed. For example, separate records that need to be cleaned from those that are ready to be loaded or route only a subset of records.",Compare Values,,DataLakeBaseToMart_DimAge
23,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.DerivedColumn,Derived Column;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Creates new column values by applying expressions to transformation input columns. Create new columns or overwrite existing ones. For example, concatenate the values from the 'first name' and 'last name' column to make a 'full name' column.",DC - InsertAuditID Column,,DataLakeBaseToMart_DimAge
24,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.OLEDBDestination,OLE DB Destination;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;4,OLE DB Destination,DST - Dim Insert,,DataLakeBaseToMart_DimAge
25,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.OLEDBCommand,OLE DB Command;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;2,"Runs an SQL statement for each row in a data flow. For example, call a 'new employee setup' stored procedure for each row in the 'new employees' table. Note: running an SQL statement for each row of a large data flow may take a long time.",DST - Dim Update,,DataLakeBaseToMart_DimAge
26,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",Insert Count,,DataLakeBaseToMart_DimAge
27,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.Lookup,Lookup;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;6,"Joins additional columns to the data flow by looking up values in a table. For example, join to the 'employee id' column the employees table to get 'hire date' and 'employee name'. We recommend this transformation when the lookup table can fit into memory.",Lookup Target,,DataLakeBaseToMart_DimAge
28,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.OLEDBSource,OLE DB Source;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;7,OLE DB Source,SRC - Base BN table,,DataLakeBaseToMart_DimAge
29,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",Update Count,,DataLakeBaseToMart_DimAge
30,Package\Dimension - Data Load\Insert Seed Records,Microsoft.ExecuteSQLTask,Insert Seed Records,,,,,"DECLARE @InsertAuditID BIGINT = ?
DECLARE @CurDate datetime = GETDATE()

IF NOT EXISTS (SELECT 1 FROM dbo.DimAge WHERE MinimumDays = -1)
	BEGIN
                  SET IDENTITY_INSERT dbo.DimAge ON;
		INSERT INTO dbo.DimAge
		(
			AgeKey,
                                                      AgeID,
			MinimumDays,
			MaximumDays,
			AgeGrouping,
			CreatedDate,
			ModifiedDate,
			InsertAuditID
		)
		VALUES
		(
			-1,
                                                      -1,
			-1,
			-1,
			'Unknown',
			@CurDate,
			@CurDate,
			@InsertAuditID
		)
	END

IF NOT EXISTS (SELECT 1 FROM dbo.DimAge WHERE MinimumDays = -2)
	BEGIN
		INSERT INTO dbo.DimAge
		(
			AgeKey,
                                                      AgeID,
			MinimumDays,
			MaximumDays,
			AgeGrouping,
			CreatedDate,
			ModifiedDate,
			InsertAuditID
		)
		VALUES
		(
			-2,
                                                      -2,
			-2,
			-2,
			'N/A',
			@CurDate,
			@CurDate,
			@InsertAuditID
		)
SET IDENTITY_INSERT dbo.DimAge OFF;
	END",DataLakeBaseToMart_DimAge
31,Package\Dimension - Data Load\SQL - Begin Load Audit Log,Microsoft.ExecuteSQLTask,SQL - Begin Load Audit Log,,,,,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",DataLakeBaseToMart_DimAge
32,Package\Dimension - Data Load\SQL - End Audit Log,Microsoft.ExecuteSQLTask,SQL - End Audit Log,,,,,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?
GO",DataLakeBaseToMart_DimAge
33,Package,Microsoft.Package,DimAssessment,,,,,,DataLakeBaseToMart_DimAssessment
34,Package\Dimension - Data Load,STOCK:SEQUENCE,Dimension - Data Load,,,,,,DataLakeBaseToMart_DimAssessment
35,Package\Dimension - Data Load\DFT - Load new records From Landing to Dim,Microsoft.Pipeline,DFT - Load new records From Landing to Dim,Microsoft.OLEDBDestination,OLE DB Destination;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;4,OLE DB Destination,DST - Dim Table,,DataLakeBaseToMart_DimAssessment
36,Package\Dimension - Data Load\DFT - Load new records From Landing to Dim,Microsoft.Pipeline,DFT - Load new records From Landing to Dim,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",RC - InsertCount,,DataLakeBaseToMart_DimAssessment
37,Package\Dimension - Data Load\DFT - Load new records From Landing to Dim,Microsoft.Pipeline,DFT - Load new records From Landing to Dim,Microsoft.OLEDBSource,OLE DB Source;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;7,OLE DB Source,SRC - Landing table,,DataLakeBaseToMart_DimAssessment
38,Package\Dimension - Data Load\SQL - Begin Load Audit Log,Microsoft.ExecuteSQLTask,SQL - Begin Load Audit Log,,,,,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",DataLakeBaseToMart_DimAssessment
39,Package\Dimension - Data Load\SQL - End Audit Log,Microsoft.ExecuteSQLTask,SQL - End Audit Log,,,,,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?
GO",DataLakeBaseToMart_DimAssessment
40,Package\Dimension - Data Load\SQL - Seed Row Insert if doesn't exists,Microsoft.ExecuteSQLTask,SQL - Seed Row Insert if doesn't exists,,,,,"IF NOT EXISTS (SELECT 1 FROM dbo.DimAssessment WHERE AssessmentKey  IN (-1,-2))
	BEGIN
			SET IDENTITY_INSERT dbo.DimAssessment ON;
			INSERT INTO [dbo].[DimAssessment]
			           ([AssessmentKey]
			           ,[AssessmentID]
                       ,[AssessmentType]
                       ,[AssessmentBand]
                       ,[CreatedDate]
                       ,[ModifiedDate]
			           ,[InsertAuditID])
			SELECT		-1
						, 'Unknown Assessment ID'
						, 'Unknown Assessment Type'
						, 'Unknown Assessment Band'
						, GETDATE()
						, GETDATE()
						,?
			UNION 
			SELECT		-2
						, 'Not Applicable'
						, 'Not Applicable'
						, 'Not Applicable'
						, GETDATE()
						, GETDATE()
						,?;
SELECT @@ROWCOUNT  + ? AS InsertCount;
SET IDENTITY_INSERT dbo.DimAssessment OFF;
END
ELSE SELECT ? as InsertCount;",DataLakeBaseToMart_DimAssessment
41,Package\Dimension - Data Load\SQL - Source Count,Microsoft.ExecuteSQLTask,SQL - Source Count,,,,,User::vLandingCountQuery,DataLakeBaseToMart_DimAssessment
42,Package\Dimension - Data Load\SQL - Update LastProcessed Date,Microsoft.ExecuteSQLTask,SQL - Update LastProcessed Date,,,,,"UPDATE  dbo.ETLBatchControl 
SET LastProcessedDate = GETDATE()
, Status = 'Success'
WHERE Tablename = ?;",DataLakeBaseToMart_DimAssessment
43,Package\Dimension - Data Load\SQl - Update Modified Record for Deletes,Microsoft.ExecuteSQLTask,SQl - Update Modified Record for Deletes,,,,,"UPDATE tgt
   SET tgt.ModifiedDate = GETDATE()    
       ,tgt.Deleted   = src.Deleted
       ,tgt.UpdateAuditID  =   ?     
FROM dbo.DimAssessment tgt
JOIN DW_Landing.dbo.DimAssessmentLanding src ON src.AssessmentID = tgt.AssessmentID 
WHERE src.Deleted <> COALESCE(tgt.Deleted, 'N')

SELECT @@ROWCOUNT AS DeleteCount",DataLakeBaseToMart_DimAssessment
44,Package\Dimension - Data Load\SQl - Update Modified Records for SCD 1,Microsoft.ExecuteSQLTask,SQl - Update Modified Records for SCD 1,,,,,"UPDATE tgt
   SET tgt.AssessmentType = src.AssessmentType
      ,tgt.AssessmentBand = src.AssessmentBand
      ,tgt.ModifiedDate = GETDATE()    
      ,tgt.UpdateAuditID = ?
FROM	 dbo.DimAssessment tgt
JOIN  DW_Landing.dbo.DimAssessmentLanding src ON src.AssessmentID = tgt.AssessmentID
WHERE COALESCE(src.Deleted, 'N') = COALESCE(tgt.Deleted, 'N')

SELECT @@ROWCOUNT AS UpdateCount ;",DataLakeBaseToMart_DimAssessment
45,Package\Landing - Data Load,STOCK:SEQUENCE,Landing - Data Load,,,,,,DataLakeBaseToMart_DimAssessment
46,Package\Landing - Data Load\DFT - Load new & modified records From BN to Landing,Microsoft.Pipeline,DFT - Load new & modified records From BN to Landing,Microsoft.OLEDBDestination,OLE DB Destination;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;4,OLE DB Destination,DST - Landing Table,,DataLakeBaseToMart_DimAssessment
47,Package\Landing - Data Load\DFT - Load new & modified records From BN to Landing,Microsoft.Pipeline,DFT - Load new & modified records From BN to Landing,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",RC - SourceCount,,DataLakeBaseToMart_DimAssessment
48,Package\Landing - Data Load\DFT - Load new & modified records From BN to Landing,Microsoft.Pipeline,DFT - Load new & modified records From BN to Landing,Microsoft.OLEDBSource,OLE DB Source;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;7,OLE DB Source,SRC - Base BN table,,DataLakeBaseToMart_DimAssessment
49,Package\Landing - Data Load\SQL - Begin Load Audit Log,Microsoft.ExecuteSQLTask,SQL - Begin Load Audit Log,,,,,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",DataLakeBaseToMart_DimAssessment
50,Package\Landing - Data Load\SQL - End Audit Log,Microsoft.ExecuteSQLTask,SQL - End Audit Log,,,,,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?
GO",DataLakeBaseToMart_DimAssessment
51,Package\Landing - Data Load\SQL - Get the LastProcessed Date,Microsoft.ExecuteSQLTask,SQL - Get the LastProcessed Date,,,,,"IF NOT EXISTS (SELECT 1 FROM dbo.ETLBatchControl WHERE TableName = ?)
	BEGIN
		INSERT INTO dbo.ETLBatchControl (TableName) VALUES (?)
	END

DECLARE @LastProcessedDate DATETIME = (SELECT LastProcessedDate FROM dbo.ETLBatchControl WHERE TableName = ?);
DECLARE @CreatedDate DATETIME = (SELECT MAX(CreatedDate) FROM DW_MART.dbo.DimTermination);

IF @LastProcessedDate IS NULL OR @CreatedDate IS NULL
SET @LastProcessedDate = (SELECT CAST('1900-01-01' AS DATE));

SELECT @LastProcessedDate AS LastProcessedDate;",DataLakeBaseToMart_DimAssessment
52,Package\Landing - Data Load\SQL - Truncate Landing Table,Microsoft.ExecuteSQLTask,SQL - Truncate Landing Table,,,,,User::vLandingTruncateQuery,DataLakeBaseToMart_DimAssessment
53,Package,Microsoft.Package,DimAssignment,,,,,,DataLakeBaseToMart_DimAssignment
54,Package\Dimension - Data Load,STOCK:SEQUENCE,Dimension - Data Load,,,,,,DataLakeBaseToMart_DimAssignment
55,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.OLEDBDestination,OLE DB Destination;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;4,OLE DB Destination,DST - Dim Table,,DataLakeBaseToMart_DimAssignment
56,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",RC - InsertCount,,DataLakeBaseToMart_DimAssignment
57,Package\Dimension - Data Load\DFT - Load new records From BN to Dim,Microsoft.Pipeline,DFT - Load new records From BN to Dim,Microsoft.OLEDBSource,OLE DB Source;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;7,OLE DB Source,SRC - Landing table,,DataLakeBaseToMart_DimAssignment
58,Package\Dimension - Data Load\SQL - Begin Load Audit Log,Microsoft.ExecuteSQLTask,SQL - Begin Load Audit Log,,,,,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",DataLakeBaseToMart_DimAssignment
59,Package\Dimension - Data Load\SQL - Delete records from Dim,Microsoft.ExecuteSQLTask,SQL - Delete records from Dim,,,,,"DECLARE @LastProcessedDate DATETIME = ?
DELETE p
FROM dbo.DimAssignment p 
JOIN (SELECT *
FROM DW_Landing.dbo.DimAssignmentLanding dpl
WHERE (dpl.BaseCreatedDate > @LastProcessedDate  OR dpl.BaseModifiedDate > @LastProcessedDate )
AND EXISTS
(
    SELECT 1
    FROM dbo.DimAssignment dp
    WHERE dp.AssignmentID = dpl.AssignmentID
 AND dp.EffectiveStartDate = dpl.EffectiveStartDate
    AND dp.EffectiveFrom = dpl.BaseEffectiveDate
)
)a ON p.AssignmentID = a.AssignmentID AND p.EffectiveStartDate = a.EffectiveStartDate AND p.EffectiveFrom = a.BaseEffectiveDate

SELECT @@ROWCOUNT AS DeleteCount ;",DataLakeBaseToMart_DimAssignment
60,Package\Dimension - Data Load\SQL - Delete records from Dim not in source,Microsoft.ExecuteSQLTask,SQL - Delete records from Dim not in source,,,,,"DELETE dp
FROM dbo.DimAssignment dp
WHERE NOT EXISTS
(
    SELECT 1
    FROM DW_Landing.dbo.DimAssignmentLanding dpl
    WHERE dp.AssignmentID = dpl.AssignmentID
	AND dp.EffectiveStartDate = dpl.EffectiveStartDate
    AND dp.EffectiveFrom = dpl.BaseEffectiveDate
)
AND dp.AssignmentKey > 0

SELECT @@ROWCOUNT + ? AS DeleteCount ;",DataLakeBaseToMart_DimAssignment
61,Package\Dimension - Data Load\SQL - End Audit Log,Microsoft.ExecuteSQLTask,SQL - End Audit Log,,,,,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?
GO",DataLakeBaseToMart_DimAssignment
62,Package\Dimension - Data Load\SQL - Seed Row Insert if doesn't exists,Microsoft.ExecuteSQLTask,SQL - Seed Row Insert if doesn't exists,,,,,"IF NOT EXISTS (SELECT 1 FROM dbo.DimAssignment WHERE AssignmentID  IN (-1,-2))
	BEGIN
		SET IDENTITY_INSERT dbo.DimAssignment ON;

		INSERT INTO dbo.DimAssignment
		(
			AssignmentKey,
			AssignmentID,
			PersonID,
			AssignmentNumber,
			AssignmentType,
			AssignmentStatusType,
			WorkAtHomeIndicator,
			NormalWorkingHours,
			NDQCFlag,
			BonusPercent,
			ChangeReason,
			AssignmentSubType,
			IVRCode,
			Title,
			ExecutiveAssistant,
			CAWaiverIndicator,
			EmploymentCategory,
			EmployeePayBasis,
			SpecialInfoTypeName,
			SecondaryRateStartDate,
			SecondaryRateEndDate,
			SecondaryJobName,
			SecondaryPayRate,
                                                      SecondaryHoursType,
			Vendor,
			PeopleGroup,
			KLCLineOfBusiness,
			KLCPeopleGroup,
			KCLOTLLink,
			ProjectedAssignmentEndDate,
			PayGradeID,
			PositionID,
			LocationID,
			OrganizationID,
			EffectiveStartDate,
			ExpirationDate,
			EffectiveFrom,
			EffectiveTo,
			Deleted,
			RowStatus,
			CreatedDate,
			ModifiedDate,
			InsertAuditID,
			UpdateAuditID,
                                                      SourceUpdateDate
		)
		SELECT
			-1,
			-1,
			-1,
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			-1,
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'1900-01-01',
			'4712-12-31',
			'Unknown',
			-1,
                                                      'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'Unknown',
			'4712-12-31',
			-1,
			-1,
			-1,
			-1,
			'1900-01-01',
			'4712-12-31',
			'1900-01-01',
			'9999-12-31',
			NULL,
			'A',
			GETDATE(),
			GETDATE(),
			?,
			NULL,
                                                      '1900-01-01'
		UNION
		SELECT
			-2,
			-2,
			-2,
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'N/A',
			-2,
			'N/A',
			'N/A',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'N/A',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'1900-01-01',
			'4712-12-31',
			'Not Applicable',
	  		-2,
            'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'Not Applicable',
			'4712-12-31',
			-2,
			-2,
			-2,
			-2,
			'1900-01-01',
			'4712-12-31',
			'1900-01-01',
			'9999-12-31',
			NULL,
			'A',
			GETDATE(),
			GETDATE(),
			?,
			NULL,
                                                      '1900-01-01'

		SELECT @@ROWCOUNT + ? AS InsertCount;

		SET IDENTITY_INSERT dbo.DimAssignment OFF;
	END
ELSE
	BEGIN
		SELECT 0 + ? AS InsertCount;
	END",DataLakeBaseToMart_DimAssignment
63,Package\Dimension - Data Load\SQL - Source Count,Microsoft.ExecuteSQLTask,SQL - Source Count,,,,,User::vLandingCountQuery,DataLakeBaseToMart_DimAssignment
64,Package\Dimension - Data Load\SQL - Update LastProcessed Date,Microsoft.ExecuteSQLTask,SQL - Update LastProcessed Date,,,,,"UPDATE  dbo.ETLBatchControl 
SET LastProcessedDate = GETDATE()
, Status = 'Success'
WHERE Tablename = ?;",DataLakeBaseToMart_DimAssignment
65,Package\Landing - Data Load,STOCK:SEQUENCE,Landing - Data Load,,,,,,DataLakeBaseToMart_DimAssignment
